Site name: Stevenage ,,,,
Site latitude: 51.8886 ,,,,
Site longitude: -0.25516 ,,,,
Frequency (MHz): 449.425 ,,,,
Tx antenna height (m): 17 ,,,,
Tx amplifier power (dBm): 50.6 ,,,,
Tx cable loss (dB): 0.9 ,,,,
Tx antenna gain (dBi): 0.9 ,,,,
Tx eirp (dBm): 55.1 ,,,,
Rx antenna height (m): 1.5 ,,,,
Rx antenna gain (dBi): -8 ,,,,
Rx cable loss (dB): 0.2 ,,,,
Rx splitter loss (dB): 6.1 ,,,,
Rx LNA gain (dB): 0 ,,,,
Rx band pass filter loss (dB): 0.5 ,,,,
System gain (dB): -14.8 ,,,,
System noise floor (dBm): -122 ,,,,
Dynamic range (dB): 162.3 ,,,,
Averaging samples: 50 ,,,,
Averaging distance (m): 26.701 ,,,,
Date (dd.mm.yyy), Time (hh:mm:ss), Rx Latitude (deg), Rx Longitude (deg), Local mean measurement (dBm) 
08.12.2015, 12:53:53,51.9242,-0.2625,-88.7
08.12.2015, 12:53:54,51.9244,-0.2626,-86.9
08.12.2015, 12:53:56,51.9246,-0.2627,-88.43
08.12.2015, 12:53:57,51.9249,-0.2628,-88.96
08.12.2015, 12:53:59,51.9251,-0.2629,-89.12
08.12.2015, 12:54:00,51.9253,-0.263,-89.71
08.12.2015, 12:54:01,51.9255,-0.2631,-88.28
08.12.2015, 12:54:03,51.9257,-0.2632,-90.4
08.12.2015, 12:54:04,51.926,-0.2633,-88.89
08.12.2015, 12:54:05,51.9262,-0.2635,-88.81
08.12.2015, 12:54:07,51.9264,-0.2636,-86.73
08.12.2015, 12:54:08,51.9266,-0.2637,-86.99
08.12.2015, 12:54:09,51.9269,-0.2639,-88.2
08.12.2015, 12:54:11,51.9271,-0.264,-87.34
08.12.2015, 12:54:12,51.9273,-0.2642,-91.06
08.12.2015, 12:54:13,51.9275,-0.2644,-90.23
08.12.2015, 12:54:15,51.9277,-0.2646,-92.63
08.12.2015, 12:54:16,51.9279,-0.2647,-91.44
08.12.2015, 12:54:18,51.9281,-0.2648,-94.31
08.12.2015, 12:54:19,51.9284,-0.2649,-90.38
08.12.2015, 12:54:21,51.9286,-0.2649,-89.57
08.12.2015, 12:54:22,51.9288,-0.265,-89.83
08.12.2015, 12:54:24,51.929,-0.2651,-90.13
08.12.2015, 12:54:25,51.9293,-0.2652,-90.62
08.12.2015, 12:54:27,51.9295,-0.2653,-93.39
08.12.2015, 12:54:28,51.9297,-0.2654,-93.51
08.12.2015, 12:54:30,51.93,-0.2655,-94.34
08.12.2015, 12:54:31,51.9302,-0.2656,-94.4
08.12.2015, 12:54:33,51.9304,-0.2658,-95.77
08.12.2015, 12:54:34,51.9306,-0.2659,-96.29
08.12.2015, 12:54:36,51.9308,-0.2661,-96.25
08.12.2015, 12:54:37,51.931,-0.2662,-97.79
08.12.2015, 12:54:38,51.9312,-0.2664,-103.2
08.12.2015, 12:54:40,51.9314,-0.2666,-101.35
08.12.2015, 12:54:41,51.9316,-0.2668,-101.35
08.12.2015, 12:54:43,51.9318,-0.2669,-100.9
08.12.2015, 12:54:44,51.932,-0.2671,-100.01
08.12.2015, 12:54:45,51.9322,-0.2672,-100.53
08.12.2015, 12:54:47,51.9324,-0.2674,-99.94
08.12.2015, 12:54:48,51.9327,-0.2675,-96.67
08.12.2015, 12:54:50,51.9329,-0.2677,-96.48
08.12.2015, 12:54:51,51.9331,-0.2678,-95.72
08.12.2015, 12:54:53,51.9333,-0.268,-97.96
08.12.2015, 12:54:54,51.9335,-0.2682,-96.02
08.12.2015, 12:54:56,51.9337,-0.2683,-95.58
08.12.2015, 12:54:57,51.9339,-0.2685,-96.58
08.12.2015, 12:54:59,51.9341,-0.2687,-97.24
08.12.2015, 12:55:01,51.9343,-0.2688,-99.62
08.12.2015, 12:55:02,51.9346,-0.269,-101.44
08.12.2015, 12:55:05,51.9348,-0.2692,-101.15
08.12.2015, 12:55:07,51.935,-0.2694,-99.45
08.12.2015, 12:55:10,51.9352,-0.2696,-100.75
08.12.2015, 12:55:12,51.9354,-0.2698,-101.36
08.12.2015, 12:55:14,51.9355,-0.2699,-101.67
08.12.2015, 12:55:16,51.9357,-0.2701,-100.32
08.12.2015, 12:55:18,51.9359,-0.2703,-101.31
08.12.2015, 12:55:19,51.9361,-0.2705,-101.16
08.12.2015, 12:55:21,51.9363,-0.2706,-100.02
08.12.2015, 12:55:23,51.9365,-0.2708,-98.13
08.12.2015, 12:55:25,51.9367,-0.271,-98.57
08.12.2015, 12:55:27,51.9369,-0.2712,-96.34
08.12.2015, 12:55:28,51.9372,-0.2714,-95.76
08.12.2015, 12:55:30,51.9373,-0.2715,-94.2
08.12.2015, 12:55:32,51.9376,-0.2717,-94.69
08.12.2015, 12:55:34,51.9378,-0.2719,-92.99
08.12.2015, 12:55:36,51.938,-0.2721,-96.85
08.12.2015, 12:55:37,51.9382,-0.2723,-94.41
08.12.2015, 12:55:39,51.9384,-0.2724,-94.9
08.12.2015, 12:55:41,51.9386,-0.2726,-93.11
08.12.2015, 12:55:43,51.9388,-0.2728,-92.98
08.12.2015, 12:55:45,51.939,-0.273,-93.8
08.12.2015, 12:55:47,51.9392,-0.2732,-94.96
08.12.2015, 12:55:49,51.9394,-0.2734,-91.5
08.12.2015, 12:55:50,51.9396,-0.2736,-92.75
08.12.2015, 12:55:52,51.9398,-0.2738,-94.83
